ID do Empregado,Primeiro nome,Sobrenome,Gênero,Idade,Viagem de negócios,Departamento,Distância de Casa (KM),Estado,Etnia,Educação,Campo da educação,Cargo de Trabalho,Estado civil,Salário,Nível de opção de ações,Ao longo do tempo,Data de contratação,Atrito,Anos na empresa,Anos na função mais recente,Anos desde a última promoção,Anos com gerente atual
3012-1A41,Leonelle,Simco,Feminino,30,Algumas viagens,Vendas,27,Illinois,Branco,5,Marketing,Executivo de vendas,Divorciado,102059,1,Não,40911,Não,10,4,9,7
CBCB-9C9D,Leonerd,Aland,Masculino,38,Algumas viagens,Vendas,23,California,Branco,4,Marketing,Executivo de vendas,Solteiro,157718,0,Sim,40912,Não,10,6,10,0
95D7-1CE9,Ahmed,Sykes,Masculino,43,Algumas viagens,Recursos Humanos,29,California,Asiático ou Asiático Americano,4,Marketing,RH parceiro de negócios,Casado,309964,1,Não,40912,Não,10,6,10,8
47A0-559B,Ermentrude,Berrie,Não-binário,39,Algumas viagens,Tecnologia,12,Illinois,Branco,3,Ciência da Computação,Gerente de engenharia,Casado,293132,0,Não,40913,Não,10,10,10,0
42CC-040A,Stace,Savege,Feminino,29,Algumas viagens,Recursos Humanos,29,California,Branco,2,Graduação Técnica,Recrutador,Solteiro,49606,0,Não,40913,Sim,6,1,1,6
C219-6C2E,Clerkclaude,Hinkins,Masculino,34,Algumas viagens,Vendas,30,New York,Grupos étnicos mistos ou múltiplos,2,Marketing,Executivo de vendas,Divorciado,133468,1,Não,40913,Não,10,3,7,9
D906-B674,Uta,Melmar,Feminino,42,Sem viagens,Tecnologia,45,New York,Negro ou afro-americano,3,Sistemas de informação,Gerente de engenharia,Casado,259284,1,Não,40917,Não,10,2,6,6
3C7D-86ED,Joyan,Brason,Feminino,40,Algumas viagens,Vendas,3,California,Havaiano nativo,2,Outro,Executivo de vendas,Divorciado,104426,1,Não,40919,Não,10,3,4,6
3D71-8DC2,Alix,Blazejewski,Masculino,38,Algumas viagens,Vendas,20,Illinois,Negro ou afro-americano,4,Marketing,Executivo de vendas,Casado,147098,1,Não,40919,Não,10,5,8,2
5476-CA0D,Kayley,Snoad,Feminino,31,Viajante frequente,Tecnologia,4,New York,Havaiano nativo,2,Sistemas de informação,Cientista de dados,Solteiro,69747,0,Não,40920,Sim,6,5,5,1
73CF-4956,Hannis,Waslin,Feminino,32,Algumas viagens,Tecnologia,42,California,Branco,4,Ciência da Computação,Cientista de dados,Solteiro,102022,0,Não,40920,Não,10,4,5,8
277A-A6FA,Annabela,Pablos,Feminino,35,Algumas viagens,Tecnologia,8,New York,Outro,4,Sistemas de informação,Engenheiro de aprendizado de máquina,Solteiro,272175,0,Não,40920,Não,10,7,8,2
8BAB-B4A6,Torey,Abram,Masculino,38,Algumas viagens,Vendas,35,New York,Asiático ou Asiático Americano,3,Marketing,Gerente,Solteiro,340229,0,Sim,40921,Não,10,7,9,3
111D-E5EF,Edna,Alison,Não-binário,37,Algumas viagens,Tecnologia,3,Illinois,Branco,3,Ciência da Computação,Engenheiro de software,Divorciado,48395,1,Não,40923,Não,10,2,2,4
97F4-0B14,Vernen,Powner,Masculino,33,Algumas viagens,Tecnologia,4,New York,Grupos étnicos mistos ou múltiplos,4,Outro,Engenheiro de software senior,Solteiro,97126,0,Não,40923,Não,10,8,10,2
5C03-1009,Willetta,Lurriman,Feminino,42,Algumas viagens,Tecnologia,21,Illinois,Negro ou afro-americano,3,Sistemas de informação,Gerente de engenharia,Casado,316208,1,Não,40925,Não,10,8,8,7
BD1B-53A3,Wendall,Dryden,Masculino,43,Algumas viagens,Vendas,27,California,Grupos étnicos mistos ou múltiplos,3,Marketing,Executivo de vendas,Solteiro,128885,0,Sim,40925,Não,10,1,10,2
DFA9-990E,Cale,Holston,Masculino,43,Sem viagens,Vendas,34,New York,Branco,4,Marketing,Executivo de vendas,Casado,108315,2,Não,40925,Não,10,9,10,10
ED73-F078,Ernaline,Napolione,Feminino,45,Viajante frequente,Tecnologia,19,New York,Asiático ou Asiático Americano,1,Ciência da Computação,Engenheiro de software,Casado,136521,1,Não,40926,Não,10,3,6,1
C6EC-FEB5,Charlena,Severwright,Feminino,38,Algumas viagens,Vendas,1,California,Branco,1,Economia,Executivo de vendas,Solteiro,151141,0,Não,40927,Não,10,3,6,9
D7EE-56FC,Zsa zsa,Evered,Feminino,39,Viajante frequente,Vendas,17,California,Branco,2,Graduação Técnica,Executivo de vendas,Casado,107863,1,Sim,40927,Sim,8,8,8,5
C395-8C36,Curcio,Franek,Masculino,33,Algumas viagens,Recursos Humanos,3,California,Grupos étnicos mistos ou múltiplos,1,Graduação Técnica,Recrutador,Divorciado,53616,1,Sim,40927,Não,10,2,3,7
E348-E12B,Burnaby,Guillet,Masculino,36,Sem viagens,Tecnologia,36,Illinois,Branco,2,Sistemas de informação,Engenheiro de software,Divorciado,61298,1,Sim,40927,Não,10,3,9,3
B3AF-7E58,Elvira,Ianelli,Feminino,45,Algumas viagens,Recursos Humanos,34,New York,Negro ou afro-americano,2,Recursos Humanos,Recrutador,Divorciado,54132,1,Sim,40928,Não,10,10,10,10
469A-8121,Baxie,Rising,Masculino,30,Algumas viagens,Tecnologia,36,California,Índio Americano ou Nativo do Alasca,4,Sistemas de informação,Gerente de engenharia,Casado,328415,0,Não,40928,Não,10,1,10,1
9E22-6287,Gifford,Poynser,Não-binário,48,Algumas viagens,Tecnologia,37,California,Branco,3,Ciência da Computação,Engenheiro de aprendizado de máquina,Solteiro,145337,0,Não,40929,Não,10,10,10,0
D5DA-363A,Rickey,Shere,Masculino,33,Algumas viagens,Vendas,41,California,Asiático ou Asiático Americano,2,Marketing,Executivo de vendas,Casado,71201,2,Não,40932,Não,10,8,10,4
BFF3-AADC,Collen,Sedman,Feminino,31,Sem viagens,Recursos Humanos,25,New York,Índio Americano ou Nativo do Alasca,2,Marketing,Recrutador,Divorciado,55682,1,Não,40933,Não,10,0,2,0
C0BE-FED0,Bertram,Doleman,Masculino,40,Algumas viagens,Vendas,35,New York,Branco,2,Marketing,Representante de vendas,Casado,63455,1,Sim,40934,Não,10,4,8,7
D565-284D,Bessie,Bellson,Feminino,47,Viajante frequente,Vendas,21,California,Branco,3,Economia,Executivo de vendas,Solteiro,65626,0,Não,40935,Não,10,2,5,1
00D4-DD53,Joyce,Goor,Feminino,30,Viajante frequente,Tecnologia,44,California,Negro ou afro-americano,1,Ciência da Computação,Engenheiro de software,Solteiro,68508,0,Sim,40936,Sim,5,4,4,4
7FFD-C810,Claresta,Impy,Feminino,32,Algumas viagens,Tecnologia,22,Illinois,Branco,2,Outro,Cientista de dados,Casado,75821,1,Não,40938,Não,10,1,5,1
